seq,latitude,longitude,x,y,option
5119,35.9141013,128.8055365,482454.469439351,3974438.56552404,0
5122,35.9141047,128.805539,482454.695753658,3974438.94217995,0
5125,35.9141081,128.8055417,482454.940113034,3974439.31879994,0
5128,35.9141113,128.8055444,482455.184428228,3974439.6732373,0
5131,35.9141147,128.805547,482455.419765019,3974440.04987527,0
5134,35.9141181,128.8055494,482455.63705671,3974440.42654917,0
5137,35.9141214,128.8055519,482455.86334884,3974440.79211379,0
5140,35.9141246,128.8055543,482456.080596336,3974441.14660505,0
5143,35.914128,128.8055568,482456.306910513,3974441.52326101,0
5146,35.9141312,128.8055592,482456.524157973,3974441.87775228,0
5149,35.9141344,128.8055619,482456.76847303,3974442.23218969,0
5152,35.9141376,128.8055643,482456.985720454,3974442.58668097,0
5155,35.9141406,128.8055675,482457.275104009,3974442.91884594,0
5158,35.914144,128.8055701,482457.510440625,3974443.29548397,0
5161,35.9141472,128.8055729,482457.763778141,3974443.64990344,0
5164,35.9141504,128.8055756,482458.008093103,3974444.00434087,0
5167,35.9141538,128.8055783,482458.252452197,3974444.38096096,0
5170,35.9141569,128.8055813,482458.523812648,3974444.72425321,0
5173,35.9141601,128.8055842,482458.786172618,3974445.07865475,0
5176,35.9141633,128.8055872,482459.057555104,3974445.43303835,0
5179,35.9141664,128.80559,482459.310870422,3974445.77636654,0
5182,35.9141697,128.8055929,482459.573252404,3974446.14185942,0
5185,35.9141728,128.8055958,482459.835590218,3974446.48516967,0
5188,35.9141759,128.8055985,482460.079882944,3974446.82851585,0
5191,35.9141792,128.8056014,482460.342264862,3974447.19400876,0
5194,35.9141822,128.8056042,482460.595558006,3974447.52624566,0
5197,35.9141853,128.805607,482460.848873204,3974447.8695739,0
5200,35.9141884,128.8056099,482461.111210917,3974448.21288419,0
5203,35.9141917,128.8056128,482461.373592755,3974448.57837713,0
5206,35.9141949,128.8056157,482461.635952496,3974448.93277876,0
5209,35.9141979,128.8056189,482461.925335666,3974449.26494388,0
5212,35.9142015,128.8056216,482462.169738592,3974449.66374672,0
5215,35.9142045,128.8056248,482462.45912172,3974449.99591187,0
5218,35.9142077,128.8056276,482462.712458846,3974450.35033148,0
5221,35.9142108,128.8056307,482462.99284147,3974450.69360592,0
5224,35.914214,128.8056337,482463.264223615,3974451.04798964,0
5227,35.9142172,128.8056364,482463.50853815,3974451.40242723,0
5230,35.9142202,128.8056396,482463.797921171,3974451.73459241,0
5233,35.9142235,128.8056424,482464.051280262,3974452.10010339,0
5236,35.9142267,128.8056453,482464.313639792,3974452.4545051,0
5239,35.9142296,128.8056483,482464.584955627,3974452.77561489,0
5242,35.9142327,128.8056514,482464.865338101,3974453.11888939,0
5245,35.9142357,128.8056545,482465.145698488,3974453.45107257,0
5248,35.9142387,128.8056573,482465.398991272,3974453.78330962,0
5251,35.9142416,128.8056603,482465.670307025,3974454.10441945,0
5254,35.9142446,128.8056633,482465.941644822,3974454.43662061,0
5257,35.9142477,128.8056663,482466.213004665,3974454.7799131,0
5260,35.9142508,128.805669,482466.457296914,3974455.12325945,0
5263,35.9142539,128.8056717,482466.701589142,3974455.46660581,0
5266,35.9142569,128.8056744,482466.945859285,3974455.79886085,0
5269,35.91426,128.8056772,482467.199174002,3974456.14218927,0
5272,35.9142633,128.8056801,482467.46155535,3974456.50768239,0
5275,35.9142664,128.8056832,482467.741937596,3974456.85095698,0
5278,35.9142697,128.8056861,482468.004318903,3974457.21645013,0
5281,35.9142729,128.8056891,482468.275700645,3974457.570834,0
5284,35.9142763,128.8056918,482468.520058926,3974457.94745438,0
5287,35.9142798,128.8056948,482468.791506816,3974458.33511225,0
5290,35.914283,128.8056974,482469.026798404,3974458.68956794,0
5293,35.9142863,128.8057002,482469.280157082,3974459.05507907,0
5296,35.9142895,128.8057027,482469.506426112,3974459.40955272,0
5299,35.9142923,128.805706,482469.804787042,3974459.71951751,0
5302,35.9142956,128.8057085,482470.031078096,3974460.0850825,0
5305,35.914299,128.8057113,482470.284458752,3974460.46168499,0
5308,35.9143023,128.8057143,482470.555862366,3974460.82716026,0
5311,35.9143055,128.8057176,482470.854311454,3974461.18149038,0
5314,35.9143086,128.8057206,482471.125670902,3974461.52478302,0
5317,35.9143117,128.8057236,482471.397030326,3974461.86807568,0
5320,35.9143146,128.8057267,482471.677368131,3974462.18916775,0
5323,35.9143175,128.8057299,482471.96672843,3974462.51024188,0
5326,35.9143204,128.8057331,482472.25608871,3974462.83131602,0
5329,35.9143235,128.8057363,482472.545493087,3974463.17457282,0
5332,35.9143266,128.8057393,482472.816852405,3974463.51786552,0
5335,35.9143296,128.8057425,482473.10623468,3974463.85003102,0
5338,35.9143329,128.8057457,482473.395683103,3974464.21547049,0
5341,35.9143362,128.8057492,482473.712199053,3974464.58085615,0
5344,35.9143393,128.8057525,482474.010625829,3974464.92409505,0
