seq,latitude,longitude,x,y,option
1727,37.2889472,127.1076349,332255.878601979,4128605.59377032,0
1730,37.2889487,127.1076295,332255.403216804,4128605.76978511,0
1733,37.2889502,127.1076239,332254.910101405,4128605.94615483,0
1736,37.2889516,127.1076185,332254.434494169,4128606.11107419,0
1739,37.288953,127.1076136,332254.003212563,4128606.2751063,0
1742,37.2889541,127.107609,332253.597860039,4128606.4053196,0
1745,37.2889554,127.1076043,332253.184086606,4128606.55790135,0
1748,37.2889568,127.1075992,332252.735074801,4128606.72228844,0
1751,37.2889581,127.1075941,332252.285840912,4128606.87558006,0
1754,37.2889595,127.1075891,332251.845694261,4128607.03978974,0
1757,37.288961,127.1075841,332251.405769727,4128607.21509494,0
1760,37.2889623,127.107579,332250.956535885,4128607.36838663,0
1763,37.2889637,127.107574,332250.516389282,4128607.53259638,0
1766,37.2889651,127.1075691,332250.085107815,4128607.6966287,0
1769,37.2889664,127.107564,332249.635874019,4128607.84992047,0
1772,37.2889678,127.107559,332249.195727465,4128608.01413029,0
1775,37.2889692,127.1075539,332248.746715807,4128608.1785176,0
1778,37.2889706,127.1075489,332248.306569286,4128608.34272747,0
1781,37.288972,127.1075439,332247.866422778,4128608.50693737,0
1784,37.2889735,127.107539,332247.435363517,4128608.68206532,0
1787,37.2889748,127.1075341,332247.003860056,4128608.83500231,0
1790,37.2889763,127.1075291,332246.563935708,4128609.01030776,0
1793,37.2889777,127.1075242,332246.132654387,4128609.17434029,0
1796,37.2889792,127.1075191,332245.683864952,4128609.34982326,0
1799,37.2889806,127.1075142,332245.252583664,4128609.51385583,0
1802,37.288982,127.1075092,332244.812437273,4128609.67806589,0
1805,37.2889835,127.1075044,332244.390243248,4128609.85301654,0
1808,37.2889849,127.1074996,332243.967827126,4128610.01687172,0
1811,37.2889863,127.1074948,332243.54541102,4128610.18072692,0
1814,37.2889877,127.10749,332243.12299493,4128610.34458214,0
1817,37.2889892,127.1074852,332242.70080097,4128610.51953287,0
